Local Authority,Project Location,Project Details,Approved Funding (€),Approval Year
Roscommon County Council,Ballyglass River Dysrt,Study,3987,2010
Roscommon County Council,Cloughan Four Roads,Installation of culvert and open drain,16200,2011
Roscommon County Council,Knockalgtha,Study,2070,2010
Roscommon County Council,Miltown Castleplunkett,Study,2250,2010
Roscommon County Council,Valeview Castlerea,Increase capacity of existing pipe and undertake associated works,54000,2010
Roscommon County Council,Cloghnashade Four Roads,"Refurbishment of one road bridge 900mm diameter and one access road bridge 600mm, piping 115m of open drain and maintenance of open drain",25000,2011
Roscommon County Council,Elphin,Hydrometric Study,9000,2010
Roscommon County Council,River Jiggy,Channel maintenance and upgrading of culverts in selected areas,450000,2010
Roscommon County Council,Feorish River Ballyfarnon,Flood mitigation works on the Feorish River,31500,2020
Roscommon County Council,Ballymurry South,Install 750m of 900mm diameter pipework 450m in hard shoulder of N61 from flood location & 350m inland connecting to existing land drain. One road crossing required,54000,2017
Roscommon County Council,Corroy Knockcroghery,Installation of a 450mm drainage line & associated works,31500,2018
Roscommon County Council,Correenbeg Oldtown,"Remove existing 2 x 900mm diameter pipe culverts & replace with 1 no. 1500 x 1800 box culvert, remove existing 2 x 900mm pipe culverts at “Cish” & replace with 2 x 1200mm diameter pipe culverts",36000,2017
Roscommon County Council,Ballymurry North,Install 400m of 900mm diameter pipework in hard shoulder of N61 from flood location to existing land drain. Clear 850m of land drain towards River Hind. One road crossing required,36000,2017
Roscommon County Council,Crancam Athlone,"Install 600mm perforated drainage pipe in road/verge for distance of 300m and connect existing water drain to it, clean local drain & associated works",108207,2019
Roscommon County Council,Jamestown,Removal of trees & timber debris from river bank,22500,2019
Roscommon County Council,Moore,Install 160m of 600mm diameter pipe with manholes & install culvert,14850,2016
Roscommon County Council,Tibarney,"Replace culverts, clean out existing stone culvert including removal of stone debris",16200,2011
Roscommon County Council,Curnalee,To install pipe & construct 4 new manholes & a sluice valve.The pipe size to be a minimum of 900mm in diameter,1800,2016
Roscommon County Council,Corraree-Ballygatta,"Excavate open drain through land, install 900mm diameter pipes & associated works",37800,2017
Roscommon County Council,Curnalee,To install pipe The pipe size to be a minimum of 900mm in diameter,18000,2016
Roscommon County Council,Rockland,Install new culvert under R357 (600mm diameter with collection chamber and connection to existing open drain),14850,2016
Roscommon County Council,Red Bridge Drum,Install 600mm pipes under Road l2026 & L7577,24300,2010
Roscommon County Council,Athleague,Construct a weir and overflow channel & carry out channel maintenance,270000,2010
Roscommon County Council,River Jiggy,Channel maintenance and upgrading of culverts in selected areas,7200,2013
Roscommon County Council,Grange,Study to determine possible alleviation measures,1800,2010
Roscommon County Council,Roxboro,Construct road crossing with 600mm diameter pipe to outfall drain for 120m through farm property,8745,2011
Roscommon County Council,Beagh Brabazon Ballinasloe,To install 250m length of 900mm twinwall HOPE drainage pipe with 4 manholes,63000,2016
Roscommon County Council,Oran/Killinraghy,"Provide and lay pipework, increase the cross-sectional area of existing channel and replace culverts as necessary",67500,2012
Roscommon County Council,Ballyglass Lower Ballinaheglish,Increase cross sectional area of channel 1600m length and replace culverts as necessary,28800,2012
Roscommon County Council,Mountcampbell Jamestown/Drumsna,Remove trees from river & remove all timber debris below high water contour (approx. 10m) from river bank for a length of 700m,40500,2017
Roscommon County Council,Cullawinnia,Install new pipe culverts & clean open drain,29250,2011
Roscommon County Council,Four Roads,Installation of V-ditch open drain with mini cross sectional area of 0.94sq.m over a distance of 963m plus a 900mm diameter concrete sewer to discharge to Cloonlaughnan Lake pipe for a distance of 783m,202677,2014
Roscommon County Council,Moneymore TD Knockcrohery,Drainage system Improved.,40500,2009
Roscommon County Council,Lissalway Castlerea,Study,2700,2010
Roscommon County Council,Moneymore,To install culvert drain & inspection chamber,20700,2016
Roscommon County Council,Strokestown,Study of Stokestown River Catchement,18000,2010
Sligo County Council,Strandhill Bay,Coastal Erosion & Flood Risk Management Study,5836,2022
Sligo County Council,Section of coastline from Deadman's Point to Rosses Point (Lower) to include the Sand Spit to the north of Rosses Lower,Coastal erosion & flood risk management study,57055,2015
Sligo County Council,Carrownagark Kilmorgan,"Construct a 110m blockwork wall including two pedestrian flood barriers, two pedestrian gates and entrances",22635,2020
Sligo County Council,Breeogue,Install a new stormwater pipeline,23252,2018
Sligo County Council,Strandhill,South Side Study,11700,2011
Sligo County Council,Strandhill,To provide terminal protection works to heavily used main access way to major recreational dune area and southern beach,290000,2012
Sligo County Council,Finned River Easkey,Study,6300,2020
Sligo County Council,Strandhill,Capital works to provide terminal protection works to heavily used main access way to dune area and southern beach,47700,2011
Sligo County Council,Lough Nasool,Funding required for a study of the surrounding area as an overflow from the lake is required to prevent further flooding.,9000,2022
Sligo County Council,Rosses Point,Study,40500,2009
Sligo County Council,Strandhill,Beach Revetment South side coastal study to establish possible solutions and plans for future dune and shoreline management Capital works to provide terminal protection works to heavily used main access way to dune area and southern beach,423000,2010
Sligo County Council,Rosses Point,Installation of 34m of rock revetment to protect the public path,124200,2021
Sligo County Council,Riverstown,"Removal of trees & overgrowth to improve the flow of the Unshin River over 1km, on both banks of the river",22635,2021
Sligo County Council,Carraroe (Revised),"Studies through the installation of hydro metric probes, data loggers and ancillary works in the form of a road crossing to facilitate pumping in the event of flooding",24292,2018
Sligo County Council,Mardyke Road Cartron,Construct 200m of 1.0m high x 0.225m wide skirting wall along most critical stretch of 500m long structure,46800,2020
Sligo County Council,Ransboro Ballybeg,Hydrogeological Study,13500,2019
Sligo County Council,Ballyfree,Study,13760,2018
Sligo County Council,Strandhill Bay,Coastal Erosion & Flood Risk Management Study,72000,2021
South Dublin County Council,Tallaght / Jobstown Areas,"Redesign and replacement of three significant screens on Jobstown Stream, Killinarden Stream / N81 and at the Jobstown Road. Building of a swale and increase of boundary wall height by 500mm at Knockmore Park and Avenue Installation of two new screens and headwalls at the N81 at Deselby Stream maintenance between Hazelgrove Golf and Jobstown Inn",333000,2012
South Dublin County Council,Owendoher River,Increase the height of the existing reinforced concrete wing/wall Continue this reinforced concrete retaining wall up the banks of the Owendoher River,43650,2013
South Dublin County Council,River Poddle,Redesign and installation of three trash screens Works to two restrictive pedestrian bridges Maintenance of riverbank / dredging and widening of River,250000,2012
South Dublin County Council,Owendoher River,Increase the height of the existing reinforced concrete wing/wall Continue this reinforced concrete retaining wall up the banks of the Owendoher River,108000,2012
Tipperary County Council,Greenan Templederry,,31613,2024
Tipperary County Council,Grange Village Clonmel,Survey and study,6300,2011
Tipperary County Council,Clareen Cross Moyaliff Ballycahill,To construct approx. 600m of 300mm diameter pipe line and associated accommodation works,33408,2011
Tipperary County Council,Tivoli Heights Clonmel,"Works-Installation of new grill to improve flow, constructionof wing walls to side of culvert/pipe",18000,2009
Tipperary County Council,Red City Fethard,Upgrade culvert,52920,2010
Tipperary County Council,"Gortnahoola, Drombane, Thurles - Revised",Construct a new 750mm surface water storm line 155 metres along public road,29700,2023
Tipperary County Council,Curragh Goatenbridge,Cleaning of approx 200 metres of existing 1.50m deep drainage ditch /Installation of approx. 60 metres of 375mm concrete drainage pipe & drainage grates,7650,2012
Tipperary County Council,Lagganstown,Road drainage system & outfall pipe through hill to natural lake,18000,2015
Tipperary County Council,Coolaholiga Nenagh,"Channel maintenance, replace culvert. Restore parapet walls and wing walls",24000,2010
Tipperary County Council,Mullinahone,Removal of debris from the channel and banks prior to building a foundation and retaining wall along the banks A design & method statement to be developed,119700,2020
Tipperary County Council,Greenhills/Kilmastulla Ballina,Upgrade of the existing road surface water drainage system & associated works,56700,2018
Tipperary County Council,Dualla Road and Waller’s Lot Cashel Town,Study,22611,2017
Tipperary County Council,Marlfield Lake Clonmel,"Site Investigation, including culvert systems and design of repair and reconstruction works",12600,2010
Tipperary County Council,Rathkennan,Overflow pipe from lane way adjacent to houses to mitigate against flooding,4500,2015
Tipperary County Council,"Capparoe, Nenagh",Supply & lay 80m of 300mm/120mm/300 diameter/120mm 450mm diameter pipeline Associated works,43042,2020
Tipperary County Council,Graigue Clogheen,"To intercept storm water, works to include the laying of a 450mm diameter corripipe, backfilling & road reinstatement works",13950,2017
Tipperary County Council,Ballinahalla Clogheen,To install drainage gullies & lay approximately 800m of 300mm diameter storm water drainage pipe to outfall,45000,2016
Tipperary County Council,Spa Villa Old Spa Road Clonmel,"Form temporary dam & concrete bed, provide additional protection to wall, construct clay embankment & associated works",5400,2014
Tipperary County Council,Ardfinnan Clonmel,Installation of 40 linear metres by approx 3 metres height of rock armour to provide 1.2 metres height of protection to existing river bank,15480,2010
Tipperary County Council,Barna Newport,Provide 12” diameter piping at roadside for 250 metres to discharge to soak-pits,27180,2012
Tipperary County Council,Ardfinnan Clonmel,"Works – Strengthening riverbank, raising embankment & removal of vegetation.",15636,2010
Tipperary County Council,Barravie,"Construct gullies and lay piping, upgrade existing pipe, clean out existing land drain",18054,2010
Tipperary County Council,Currabaha,"Construct inspection chambers, upgrade existing land drainage pipe.",9900,2010
Tipperary County Council,Ardfinnan Clonmel,"Works – Strengthening riverbank, raising embankment & removal of vegetation.",44550,2010
Tipperary County Council,St. Johnstown Fethard,Replacement of culvert,4500,2012
Tipperary County Council,Grange Cremary,Install 900mm pipes to upgrade bridge capacity,9000,2012
Tipperary County Council,Ardfinnan Clonmel,"Works – Strengthening riverbank, raising embankment & removal of vegetation.",162684,2009
Tipperary County Council,Moangarriff Clonmel,Channel improvements,30600,2010
Tipperary County Council,Grange Road Ballina,To provide 12 inch diameter SW piping and associated road gullies for a total distance of 400m,47610,2011
Tipperary County Council,Carrigeen Cahir,Improvements to Marshes Stream,26325,2010
Tipperary County Council,R-691- 4 Ballinure School,Clear out 500m of open drain on agricultural land & dispose of material,13500,2016
Tipperary County Council,Baynanagh Toomevara,"Remove wall, lay piping, construct inspection chambers and roadside gullies. Provide fencing.",42210,2010
Tipperary County Council,Doon Araglin,"Excavation of a new drainage ditch, cleaning an existing deep drainage ditch, installation of drainage pipes and electric fencing",14580,2011
Tipperary County Council,Buffanagh Killenaule,Maintenance of river between Buffanagh & Moglass,13250,2012
Tipperary County Council,Ballinderry,Install new stone filter drain with perforated 225mm storm pipe & large gully,47700,2016
Tipperary County Council,Railstown Cashel,"Widen Moyle Stream, repair bridges & culverts",45360,2010
Tipperary County Council,"Coopers lot, Cashel, Thurles, South Tipperary",Ground Investigation Surveys and SI,107100,2023
Tipperary County Council,Toureen Cahir,Installation of 450mm pipe and 350m of additional land drains,11250,2010
Tipperary County Council,R504 at Longhouse Birdhill,Install 4no new gullies & lay 100m of 300mm diameter drainage pipes to an outfall,13500,2015
Tipperary County Council,Tivoli Heights Clonmel,"Works-Installation of new grill to improve flow, constructionof wing walls to side of culvert/pipe",1373,2010
Tipperary County Council,Galbertstown Holycross,"Construct a new surface water storm drain 400m long including manholes and chambers and civils works, outfall to existing open drain.",76500,2021
Tipperary County Council,Cloughcarrigeen Estate Kilsheelin,"To install new 240m long 300mm diameter surface water drainage pipe, connect existing open channel linear attenuation drain to new estate surface water drainage system & clean existing open drain",63000,2016
Tipperary County Council,Drish Thurles,Construction of a 450mm surface water pipe for a distance of 250m to an open drain along with a number of new road gullies & associated works.,18900,2019
Tipperary County Council,River Suir Loughmore,Removal of obstructions & improvement of Water Conveyance in part of the River Channel which is not a Drainage District,45000,2015
Tipperary County Council,"Holy Cottage Road, Barnane, Templemore",Construction of 520m of a 450mm surface water pipe along with a number of new gullies & associated works,13500,2019
Tipperary County Council,Mullinahone,Removal of debris from the channel and banks prior to building a foundation and retaining wall along the banks A design and method statement to be developed,225000,2017
Tipperary County Council,Cascade Height Clonmel,Provide side support to the existing banks of Aulk Stream and reinforced concrete wall to front / Purchase concrete blocks and amend grille / Clean culvert under the road,14805,2010
Tipperary County Council,Ardfinnan Clonmel,The provision of a pumping installation in the 'Back River' to discharge to River Suir over flood defences during flood times,15750,2011
Tipperary County Council,"Holycross, Thurles","Construct a new surface water storm drain 315m long including manholes and chambers and civils works, outfall to existing open drain.",77400,2022
Tipperary County Council,Dualla Road and Waller’s Lot Cashel Town (Revised),Study,4389,2018
Tipperary County Council,R-690-4 Lismalin,Install new drainage culvert beneath the R69-4 & excavate a new 130m long open drainage ditch on private lands,10800,2016
Tipperary County Council,Clonsingle Newport,"Construct new flood ramp, 2 new piers & barrier foundation. Purchase of flood barrier & fixtures",13500,2016
Tipperary County Council,Newcastle Clonmel,"To replace sections of the existing masonry walls & replace with railing or other approved construction, to reduce risk of flooding of commercial premises using flood walls, gates etc. & fit non-return valves to existing pipe network",21600,2016
Tipperary County Council,Nenagh Road Borrisoleigh,Construction of 120m of a 450mm surface water pipe along with 3 new gullies & associated works,27000,2019
Tipperary County Council,Convent Road Cahir,Cleaning & deepening of existing drain / Excavation of trench / Laying of pipe bedding and 40m of concrete pipe / Construct manhole and backfill/compact / Restoration works,31500,2010
Tipperary County Council,The Millrace Cahir,"Clean & dredge the Milrace from the River Suir to the downstream weir, remove silt & vegetation",35550,2017
Tipperary County Council,"Coopers lot, Cashel, Thurles, South Tipperary","Geomorphological analysis, Hydrological modelling and modelling assessment.",45000,2022
Tipperary County Council,Knockballiniry Goatenbridge,"Excavation works, the laying of 450mm diameter corripipe, two road crossings & associated works",32625,2017
Tipperary County Council,"Coopers lot, Cashel, Thurles, South Tipperary","Geomorphological analysis, Hydrological modelling and modelling assessment.",22500,2023
Tipperary County Council,Gortnahoe,,22500,2023
Tipperary County Council,"Ballinderry, Nenagh",Install new stone filter drain with perforated 225mm storm pipe and long gully & discharge via 300mm storm pipe. Total length 455m,72292,2018
Tipperary County Council,Nenagh Swimming Pool & Adjacent Land,Clean drains/stream of silt/debris/vegetation Upgrade embankments,13500,2012
Tipperary County Council,"Holy Cottage Road, Barnane, Templemore",Construction of 520m of a 450mm surface water pipe along with a number of new gullies & associated works.,1241,2021
Tipperary County Council,Blackcastle Road Templemore,"To install a new 6m culvert beside the existing bridge, river widening & associated works.",98100,2021
Tipperary County Council,"Kilroe, Ballylooby",Excavation of approx. 250 metres of a new 1.50m deep drainage ditch,14200,2012
Westmeath County Council,Brookfield,Works-Construct new culvert under road at B847,45000,2009
Westmeath County Council,River Gaine Ballynagall Mullingar,Install new pipe & culvert,54000,2010
Westmeath County Council,Aghanargit Moate,To carry out a survey to determine location and extent of issues & to carry out remedial works on the existing pipeline,36450,2019
Westmeath County Council,The Strand Athlone,"Flood defence embankments, emergency pumping stations, installation of penlocks",288748,2010
Westmeath County Council,Iona Villas Athlone,"Flood defence embankments, emergency pumping stations, installation of penlocks",177323,2010
Westmeath County Council,Annagh Maghera,To raise road by 1000mm for 100m on existing road to tie into OPW raised embankments to keep road open during extreme events & thus two homes will have access,36872,2016
Westmeath County Council,Ballynagall,Construction of 900mm pipe from outlet,45000,2009
Westmeath County Council,"Aghanargit, Moate","The replacement of a damaged existing piped section of overflow network, including manholes",16920,2021
Wexford County Council,Seaview Kilmore Bastardstown,,668921,2024
Wexford County Council,Donaghmore Graveyard,"Coastal flood defence works, comprising the placing of rock armour at the base of the cliff & the removal of three damaged structures from the top of the cliff",254078,2016
Wexford County Council,Rosslare Spit West Side,"The construction of an earthen embankment and sections of demountable wall. Total length 1,075 metres",551377,2020
Wexford County Council,Clone Road Phase 2,Works,112500,2010
Wexford County Council,Old Town Lane Castlebridge,"Replacement of existing 600mm diameter pipes with 1200mm pipes, terminating in a pumping chamber under the roadway.",61200,2010
Wexford County Council,"Growtown Upper, Taghmon, Barntown,",,30742,2024
Wexford County Council,Clone Road Clone Upper,Coastal protection works,90000,2009
Wexford County Council,"Seaview, Kilmore",Rock armour cliff toe protection over approx 70 to 85m of cliff frontage immediately adjacent to access road to 14 properties at immediate risk of erosion,367740,2021
Wexford County Council,Wexford Racecourse,Flood alleviation scheme- enlarge an existing irrigation pond & construct an embankment to impound the flood water and restrict the discharge to a lower volume in keeping with the estimated capacity of the network,126000,2018
Wexford County Council,Bridgetown,"Complete a feasibility study on the impact of flood, mitigation and prevention options, including modelling of the options.",70200,2022
Wexford County Council,Ballyhack,"Coastal flood defence works, comprising raised sea walls, demountable barriers at opening in sea walls & foul pumping station. (excludes works to provide new combined sewer)",301500,2016
Wexford County Council,St. Kiernan Bannow Bay,St. Kiernan's Coastal Protection Consultancy Study,18000,2010
Wexford County Council,Gorey,"Bridge improvements, channel cleaning & regrading",450000,2010
Wexford County Council,Arthurstown,"Coastal flood defence works, comprising raised sea walls, demountable barriers & foul and surface water pumpimg stations",414000,2016
Wexford County Council,Rosslare Warren Middle,Coastal erosion risk management study,28800,2015
Wexford County Council,Wexford Harbour,Several short critical sections of the existing erosion/flood defences around Wexford Harbour to be strengthened and raised in order to avoid/mitigate future flooding,90000,2011
Wexford County Council,Badgers Hill,,25869,2024
Wexford County Council,Bridgetown (IPP),Provide demountable flood gates and barriers on affected properties.,157770,2022
Wexford County Council,Seaview Kilmore,Detailed Design Study,36000,2021
Wexford County Council,"Bridgemeadows, Lyre River, Enniscorthy",Repair / replacement of sluice gate & associated works,34392,2021
Wexford County Council,Wexford Racecourse,Flood alleviation scheme- enlarge an existing irrigation pond & construct an embankment to impound the flood water and restrict the discharge to a lower volume in keeping with the estimated capacity of the network,99000,2019
Wicklow County Council,Clogga Beach at Arklow County Wicklow,,121500,2024
Wicklow County Council,Rathbran Grangecon,"Remove and dispose of 25metres of concrete surface water pipes & restore 25metres of the channel to it's original width, depth and capacity",4050,2016
Wicklow County Council,L52001 Redford Park Greystones,Construction of a 1m high block concrete wall with foundations,6300,2009
Wicklow County Council,Avoca (White Bridge),Removal of a deposit in the Avoca river & use the material to raise the level of the adjacent river bank to form a flood barrier,8100,2013
Wicklow County Council,Arklow Town,Coastal Protection Study,81000,2010
Wicklow County Council,Boghall Road Bray,Stream Improvements,180000,2009
Wicklow County Council,"Boghall Road, Bray",Upgrade pipe & channel,180000,2010
Wicklow County Council,South Beach Arklow,The building up of an existing on-shore embankment.,46200,2015
Wicklow County Council,The Murrough,Coastal erosion rock revetment works,315000,2016
Wicklow County Council,"Mountain View Boghall, Bray",Install pipe,67500,2010
Wicklow County Council,Baltinglass Town Centre,Accommodation Works – flap valves - new manhole and embankment at Church Lane,29800,2011
Wicklow County Council,Parkmore Baltinglass,To provide an earth embankment / bund to provide a barrier against flood waters (to be undertaken in conjunction with works in Town Centre),210000,2011
Wicklow County Council,Baltinglass Town Centre,Engagement of consultant to identify feasible measures to address flooding in Baltinglass Town Centre and implementation of said measures / Anticipated works: Dredging of River Slaney / Installation of flap valves on all surface water discharge outlets to the river in the vicinity of Slaney Mall / Flood gating at the Bridge slip-way and at Church Lane,70200,2010
Wicklow County Council,The Murrough,"To construct a rock armour ramp transition zone between the existing strand and the adjoining shoreline- details as outlined in the RPS Report of February, 2015",135000,2015
Wicklow County Council,"Brittas Bay, Kilpatrick,Ennereilly","Coastal Erosion Risk Management Brittas Bay and Ennereilly, County Wicklow",121500,2023
Wicklow County Council,R762 Delgany,Lay 230m of 12” UPVC SW Line / Reinstatement of road / Construction of manholes /Install gullies / Connect existing gulliesInstall new pipe line,40000,2012
Wicklow County Council,North Beach – Arklow,Coastal Protection Works,70000,2010
Wicklow County Council,Avoca River Arklow,Construction of a flood protection wall,40000,2012
Wicklow County Council,R762 Delgany,Lay 230m of 12” UPVC SW Line / Reinstatement of road / Construction of manholes /Install gullies / Connect existing gulliesInstall new pipe line,40230,2009
Cork City Council,Cork City Walls,"Repairs and upgrading of quay walls at 6 locations, Sunday's Well Rd, Grenville Place, Bachelor's Quay, Popes Quay, Sullivan's Quay and Father Mathew Quay.",900000,2010
Dublin City Council,"Camac River at: Carrickfoyle Terrace, Millbrook Terrace & Lady's Lane, Kilmainham",Installation of 60m rock armour along the Eany Water River bank to protect the old graveyard and ecclesiastical remains New early warning device,225000,2012
Dublin City Council,"Dodder Estuary,Fitzwilliam Quay",Restore section of Quay Wall on Fitzwilliam Quay,250000,2011
Dublin City Council,"Dodder Estuary,Fitzwilliam Quay",Restore section of Quay Wall on Fitzwilliam Quay,150000,2011
Dublin City Council,Raheny Village & Harmonstown Road,"Works at Harmonstown Road river culvert and upstream of Harmonstown Bridge. Works between Howth Road and Raheny Main Street – Raising of embankments, replacement of walls and flap valves on pipe outlets. Modelling of Santry River",135000,2011
Galway City Council,Two Mile Ditch,Construct pump sump & provide mobile pump. Construct pipeline to existing surface water drainage system.,27000,2010
Galway City Council,Coolarne Turloughmore,"Replacing of existing 450mm pipe with 400m of 900mm piping 700m open drain required,inlet and outlet required estimated at €125,000.",112500,2010
Galway City Council,Sruffaunacashlaun Stream && Distillery Canal,"Channel maintenance on the open channel section of the stream & trash screen replacements, Carry out desilting works on Distillery Channel, Tree cutting & vegetation clearing works, Prepare AA screenings, assessments & reports",163800,2023
Galway City Council,Menlo,"Installation of pipe / channel from turlough to River Corrib, together with pumping equipment",121995,2010
Galway City Council,Claire River Galway City,Carry out tree cutting & vegetation removal,33840,2018
Galway City Council,"Distillery Canal / Eglinton Canal, Galway City","Create a safe access to the siphon, in order to carry out investigative works & detail the remedial works required.Carry out any emergency repair if necessary",90000,2013
Galway City Council,Two Mile Ditch,Construct pump sump & provide mobile pump. Construct pipeline to existing surface water drainage system.,5306,2012
Galway City Council,Sruffaunacashlaun Stream & Distillery Canal,"Channel maintenance on the open channel section of the stream & trash screen replacements, carry out desilting works on Distillery Channel. Tree cutting & vegetation clearing works. Prepare AA screenings, assessments & reports",444600,2018
Galway City Council,River Corrib Galway City,"Temporary flood defence measures- fenders, gates etc.",117342,2014
Galway City Council,Clare River Galway City,"Carry out tree cutting & vegetation removal, masonry repairs, culvert repairs & silt removal",61650,2019
